City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
santa cruz cabralia,-16.28,-39.02,75.2,69,75,9.17
vaini,15.34,74.49,68.51,98,92,4.47
ushuaia,-54.81,-68.31,37.4,100,40,27.51
butaritari,3.07,172.79,82.91,100,68,1.57
faanui,-16.48,-151.75,78.32,100,20,27.51
albany,42.65,-73.75,75.38,68,1,12.75
janauba,-1.63,-45.47,75.02,92,24,4.18
mar del plata,-46.43,-67.52,50.6,41,0,4.14
san patricio,-26.98,-56.83,72.65,92,64,2.01
camacha,33.08,-16.33,70.84,73,20,18.34
puerto ayora,-0.74,-90.35,78.8,50,0,19.46
rikitea,-23.12,-134.97,66.89,100,100,17.67
pangnirtung,66.15,-65.72,42.8,81,75,13.87
voyvozh,62.89,54.96,36.41,83,0,3.06
bambous virieux,-20.34,57.76,69.8,68,40,13.87
dikson,73.51,80.55,41.6,100,80,9.62
salinopolis,-0.61,-47.36,81.74,93,8,9.62
busselton,-33.64,115.35,54.56,100,76,10.96
severo-kurilsk,50.68,156.12,48.98,99,0,3.58
saint-philippe,45.36,-73.48,69.08,59,40,6.93
hobart,-42.88,147.33,46.4,87,75,2.24
hithadhoo,-0.6,73.08,83.36,100,68,2.46
college,64.86,-147.8,50.23,90,90,18.34
souillac,45.6,-0.6,65.19,72,0,8.05
goundi,9.36,17.37,73.13,84,8,2.95
thompson,55.74,-97.86,60.8,87,75,6.93
praia,-20.25,-43.81,72.39,43,0,8.05
san cristobal,-0.39,-78.55,62.6,51,20,19.46
qaanaaq,77.48,-69.36,33.23,100,0,2.8
hilo,19.71,-155.08,71.51,79,90,6.93
east london,-33.02,27.91,71.12,92,0,20.69
la romana,18.43,-68.97,79.07,100,75,5.86
roebourne,-20.77,117.15,53.48,51,0,9.95
north platte,41.12,-100.77,82.49,53,24,15.48
hirara,24.8,125.28,77.0,94,20,3.36
antalaha,-14.9,50.28,69.26,98,92,11.68
barrow,-38.31,-60.23,49.16,51,88,13.87
carnarvon,-30.97,22.13,50.6,29,64,7.27
mehamn,71.03,27.85,50.0,87,75,8.05
inta,66.04,60.13,48.17,85,32,2.35
varhaug,58.61,5.65,55.4,82,0,9.17
luderitz,-26.65,15.16,53.3,94,24,4.36
nikolskoye,59.7,30.79,55.4,93,12,2.57
skovorodino,53.99,123.94,62.42,75,0,3.29
ribeira grande,38.52,-28.7,76.97,96,80,13.87
vila velha,-3.71,-38.6,78.8,78,40,13.87
kununurra,-15.77,128.74,71.6,100,0,4.7
kapaa,22.08,-159.32,83.14,69,40,18.34
chernyshevskiy,63.01,112.47,53.6,85,44,4.41
upernavik,72.79,-56.15,36.83,100,76,14.2
namibe,-15.19,12.15,65.0,100,88,10.07
cape town,-33.93,18.42,50.0,93,0,2.24
cam ranh,11.92,109.15,81.68,85,0,7.31
boralday,43.36,76.86,50.0,81,40,4.47
shizuishan,39.02,106.36,61.52,94,92,1.39
bagaces,10.53,-85.25,82.4,61,75,6.93
buraydah,26.33,43.97,93.2,26,0,6.93
saint-augustin,44.83,-0.61,63.39,77,0,4.7
tasiilaq,65.61,-37.64,44.6,75,92,39.15
trebinje,42.71,18.35,68.83,77,0,1.12
mahebourg,-20.41,57.7,69.8,68,40,13.87
